"%s was notified by SMS (Number: %s; Text: %s)","%s was notified by SMS (Number: %s; Text: %s)"
"Primary admin's number","Primary admin's number"
"Primary number","Primary number"
"Purchase credit now","Purchase credit now"
"Purchase","Purchase"
"Range","Range"
"Received error: %s %s","Received error: %s %s"
"Remain <b><span class=""%s""></span></b> characters to new message.","Remain <b><span class=""%s""></span></b> characters to new message."
"Remain about <b><span class=""%s""></span></b> characters to new message.","Remain about <b><span class=""%s""></span></b> characters to new message."
"Remove zero digits from start of the numbers","Remove zero digits from start of the numbers"
"Response body is not well formed.","Response body is not well formed."
"SMS Notifier - Send SMS","SMS Notifier - Send SMS"
"SMS Notifier","SMS Notifier"
"SMS Text","SMS Text"
"SMS messages would be writen to file 'var/log/smsnotify.log'. Note sending will not be logged when the Magento log is disabled.","SMS messages would be writen to file 'var/log/smsnotify.log'. Note sending will not be logged when the Magento log is disabled."
"SMS text","SMS text"
"SMS to '%s' could not be sent. Reason is unknown. For more information see log, please.","SMS to '%s' could not be sent. Reason is unknown. For more information see log, please."
"SMS to '%s' could not be sent. Reason: '%s'","SMS to '%s' could not be sent. Reason: '%s'"
"SMS to '%s' was sent.","SMS to '%s' was sent."
"SMS","SMS"
"Secondary admin's number","Secondary admin's number"
"Secondary number","Secondary number"
"Send SMS","Send SMS"
"Send to administrator","Send to administrator"
"Sending SMS to %s fails (Reason: %s)","Sending SMS to %s fails (Reason: %s)"
"Sending the messge to this number is diallowed, see filters in configuration","Sending the messge to this number is diallowed, see filters in configuration"
"Shipment Nr.","Shipment Nr."
"Shipping Address","Shipping Address"
"Specified countries","Specified countries"
"Status","Status"
"Submit Comment","Submit Comment"
"Telephone Number List","Telephone Number List"
"Telephone number is too long. Telephone number may be maximally 16 digits length","Telephone number is too long. Telephone number may be maximally 16 digits length"
"Text will be sended as <b><span class=""%s""></span></b> message(s).","Text will be sended as <b><span class=""%s""></span></b> message(s)."
"Text will be sended perhaps as <b><span class=""%s""></span></b> message(s).","Text will be sended perhaps as <b><span class=""%s""></span></b> message(s)."
"The customers can insert the phone number with dial prefix or without it to their address. This settings determines whether system have to add dial prefix automatically or not. If you choose for example 9 then there will be add dial prefix of your local country to all numbers with have 9 digits or less. The numbers with 10 digits or more will remain as they are.","The customers can insert the phone number with dial prefix or without it to their address. This settings determines whether system have to add dial prefix automatically or not. If you choose for example 9 then there will be add dial prefix of your local country to all numbers with have 9 digits or less. The numbers with 10 digits or more will remain as they are."
"The number in parentheses indicates the dial prefix code of the country.","The number in parentheses indicates the dial prefix code of the country."
"There is disallowed send SMS to this number. Check your filter definitions in the configuration of SMSNotifier please.","There is disallowed send SMS to this number. Check your filter definitions in the configuration of SMSNotifier, please."
"There will be added dial prefix '%s' to numbers which are %s digits length or shorter.","There will be added dial prefix '%s' to numbers which are %s digits length or shorter."
"This order no longer exists.","This order no longer exists."
"Unicode message","Unicode message"
"Unknow code: %s","Unknow code: %s"
"Username","Username"
"Variables:","Variables:"
"Visible on Frontend","Visible on Frontend"
You are using Unicode chars, but you did not allow this. All Unicode characters will be replaced with ASCII or removed if replacement is not possible. You can allow Unicode messages <a href="%s">here</a>.","You are using Unicode chars, but you did not allow this. All Unicode characters will be replaced with ASCII or removed if replacement is not possible. You can allow Unicode messages <a href="%s">here</a>."
"You have not configured API username or API key properly.","You have not configured API username or API key properly."
"You have written <b><span class=""%s""></span></b> character(s).","You have written <b><span class=""%s""></span></b> character(s)."
"You have written about <b><span class=""%s""></span></b> character(s).","You have written about <b><span class=""%s""></span></b> character(s)."
"Your credit","Your credit"
"Your download id has not been found. Make sure you typed correctly. If you are sure that it is correct and valid then contact <a href=""mailto:support@Telecom.net"">support@Telecom.net</a>","Your download id has not been found. Make sure you typed correctly. If you are sure that it is correct and valid then contact <a href=""mailto:support@Telecom.net"">support@Telecom.net</a>"
"administrator","administrator"
"customer","customer"
